排名,球员姓名,位置,球队,综合mu,综合sigma,综合保守评分,国家队_mu,国家队_sigma,俱乐部_mu,俱乐部_sigma,总出场
502,Zineddine Belaïd,DF,ALG,23.53,5.19,7.96,23.53,5.19,,,4
503,Pascal Groß,MF,GER,23.46,5.17,7.95,23.46,5.17,,,3
504,Denis Višinský,FW,CZE,24.32,5.46,7.94,24.32,5.46,,,2
505,Scott McKenna,DF,SCO,23.85,5.32,7.89,23.85,5.32,,,7
506,Jack Hendry,DF,SCO,20.97,4.36,7.89,16.82,7.34,23.74,5.37,3
507,Romelu Lukaku,FW,BEL,24.03,5.38,7.89,24.03,5.38,,,4
508,Orbelín Pineda,MF,MEX,23.66,5.26,7.88,23.66,5.26,,,3
509,Moïse Bombito,DF,CAN,23.41,5.18,7.87,23.41,5.18,,,1
510,Gustaf Nilsson,FW,SWE,23.94,5.36,7.86,23.94,5.36,,,2
511,Mateo Kovačić,MF,CRO,23.66,5.29,7.79,23.66,5.29,,,3
512,Mostafa Ziko,MF,EGY,23.56,5.26,7.78,23.56,5.26,,,2
513,Dominik Kotarski,GK,CRO,24.36,5.54,7.74,24.36,5.54,,,2
514,Park Jin-seob,DF,KOR,23.2,5.16,7.72,23.2,5.16,,,5
515,Gustavo Gómez (captain),DF,PAR,23.28,5.19,7.71,23.28,5.19,,,19
516,Carlos Harvey,MF,PAN,24.2,5.5,7.7,24.2,5.5,,,11
517,Mohammed Abu Al-Shamat,DF,KSA,23.44,5.26,7.66,23.44,5.26,,,5
518,Ghislain Konan,DF,CIV,23.55,5.3,7.65,23.55,5.3,,,8
519,Cammy Devlin,MF,AUS,23.71,5.36,7.63,23.71,5.36,,,3
520,Çağlar Söyüncü,DF,TUR,23.26,5.21,7.63,23.26,5.21,,,2
521,Jesper Karlström,MF,SWE,23.66,5.36,7.58,23.66,5.36,,,6
522,Anis Ben Slimane,MF,TUN,23.32,5.25,7.57,23.32,5.25,,,5
523,César Yanis,MF,PAN,23.41,5.28,7.57,23.41,5.28,,,5
